feature,abs_error
bp_20_30_III,1.935020090981817
bp_20_30_I,1.901385355376053
bp_30_40_III,1.8875486012239218
bp_30_40_I,1.8808336598590851
bp_20_30_II,1.8526314700996398
bp_30_40_II,1.8358597341464042
bp_12_20_I,1.5306186105012893
bp_12_20_III,1.526614736361313
bp_12_20_II,1.4675925062458037
bp_4_8_II,1.0823949217276096
bp_4_8_III,1.073226681460285
bp_4_8_I,0.8565510128993846
bp_8_12_I,0.6173140303072453
bp_8_12_II,0.4613358420859574
bp_8_12_III,0.4204411324649333
bp_0.5_4_III,0.13581528916030888
bp_0.5_4_II,0.10662439140518198
bp_0.5_4_I,0.07030470915237441
