PID,true_reconstruction_mse
1094231,18.940323017113545
1055909,15.91608048232023
1011696,15.664162174671686
1057644,13.217123589530166
1078147,9.944791008257587
1050464,9.686345474905842
1069285,9.138982131228195
1074157,8.499674307680822
1033544,7.793168254261778
1018708,7.25322945060788
1073272,6.6999249462721835
1040453,6.464618652748857
1079457,6.461408703053228
1097234,5.966837059862919
1067759,5.823535779797454
1019533,5.72584219549773
1070513,5.6966194533699515
1072991,5.67027010462267
1016890,5.538577013782667
1025716,5.341048521636626
1002688,5.256000995287266
1043355,5.080833814892734
1022717,5.046226199679015
1004800,4.972036617146049
1087328,4.964247961156356
1063403,4.929155324968769
1015377,4.428442574838705
1042391,4.415609427508224
1013103,4.231921121921532
1056309,4.141527058975816
1079813,4.13784935735345
1087599,3.9863398575004547
1012034,3.9810866153933953
1070083,3.9750081232590153
1047831,3.841478134635331
1080030,3.624421055026281
1036119,3.3415000807939235
1019264,3.3302619252643413
1094429,3.2519785178852096
1004007,3.047960908362258
1099786,2.957494208497511
1067855,2.841735902359774
1003256,2.8034055147113923
1071667,2.7353484274464375
1033769,2.6518986115681313
1064528,2.536257624515015
1027707,2.4735948253905438
1019875,2.383512457402686
1046829,2.254491824823183
1034964,2.2540845641019067
1053513,1.95102583378589
1060577,1.7751250729455503
