PID,file_base,segment_id,lead,fs,start_sec,segment_path,bp_0.5_4,bp_4_8,bp_8_12,bp_12_20,bp_20_30,bp_30_40,is_noisy
1002688,1002688_6025_0_0,1002688_6025_0_0_seg0000,I,500.0,0.0,segmented_10s/1002688_6025_0_0/1002688_6025_0_0_seg0000.npz,2.044342041015625,4.948192119598389,1.336276292800903,0.8504084348678589,0.5007708072662354,0.3661698400974273,False
1002688,1002688_6025_0_0,1002688_6025_0_0_seg0000,II,500.0,0.0,segmented_10s/1002688_6025_0_0/1002688_6025_0_0_seg0000.npz,2.0107791423797607,4.912718772888184,1.3366801738739014,0.83208829164505,0.5061671733856201,0.3586106896400451,False
1002688,1002688_6025_0_0,1002688_6025_0_0_seg0000,III,500.0,0.0,segmented_10s/1002688_6025_0_0/1002688_6025_0_0_seg0000.npz,2.0233349800109863,4.95221471786499,1.328757405281067,0.8349073529243469,0.5003916621208191,0.3649123013019562,False
1002688,1002688_6025_0_0,1002688_6025_0_0_seg0001,I,500.0,10.0,segmented_10s/1002688_6025_0_0/1002688_6025_0_0_seg0001.npz,2.318918943405152,3.89562726020813,0.9654167294502258,0.6505526304244995,0.4744488596916199,0.207402691245079,False
1002688,1002688_6025_0_0,1002688_6025_0_0_seg0001,II,500.0,10.0,segmented_10s/1002688_6025_0_0/1002688_6025_0_0_seg0001.npz,2.272818326950073,3.8568694591522217,0.9653507471084596,0.643103837966919,0.4758261442184448,0.2057623416185379,False
1002688,1002688_6025_0_0,1002688_6025_0_0_seg0001,III,500.0,10.0,segmented_10s/1002688_6025_0_0/1002688_6025_0_0_seg0001.npz,2.3054394721984863,3.861948013305664,0.934810996055603,0.6423020362854004,0.4767989814281463,0.2080538719892501,False
1002688,1002688_6025_0_0,1002688_6025_0_0_seg0002,I,500.0,20.0,segmented_10s/1002688_6025_0_0/1002688_6025_0_0_seg0002.npz,2.108936309814453,3.3056044578552246,1.1601097583770752,0.5603436231613159,0.5624128580093384,0.2700669765472412,False
1002688,1002688_6025_0_0,1002688_6025_0_0_seg0002,II,500.0,20.0,segmented_10s/1002688_6025_0_0/1002688_6025_0_0_seg0002.npz,2.1196203231811523,3.3037631511688232,1.1602343320846558,0.5609281063079834,0.5630025267601013,0.270359605550766,False
1002688,1002688_6025_0_0,1002688_6025_0_0_seg0002,III,500.0,20.0,segmented_10s/1002688_6025_0_0/1002688_6025_0_0_seg0002.npz,2.108225107192993,3.322925090789795,1.164369821548462,0.5559532642364502,0.5653690695762634,0.272420734167099,False
1002688,1002688_6025_0_0,1002688_6025_0_0_seg0003,I,500.0,30.0,segmented_10s/1002688_6025_0_0/1002688_6025_0_0_seg0003.npz,2.8048863410949707,4.08405065536499,2.884753942489624,0.759647011756897,0.7580443620681763,0.3436799645423889,False
1002688,1002688_6025_0_0,1002688_6025_0_0_seg0003,II,500.0,30.0,segmented_10s/1002688_6025_0_0/1002688_6025_0_0_seg0003.npz,2.811457633972168,4.085235595703125,2.907874584197998,0.7663761973381042,0.7545446753501892,0.3391772508621216,False
1002688,1002688_6025_0_0,1002688_6025_0_0_seg0003,III,500.0,30.0,segmented_10s/1002688_6025_0_0/1002688_6025_0_0_seg0003.npz,2.8102502822875977,4.070832252502441,2.9168965816497803,0.7681833505630493,0.7550068497657776,0.3382640779018402,False
1002688,1002688_6025_0_0,1002688_6025_0_0_seg0004,I,500.0,40.0,segmented_10s/1002688_6025_0_0/1002688_6025_0_0_seg0004.npz,0.5609596967697144,4.4019293785095215,0.8785824775695801,0.4765320718288421,0.4400225579738617,0.3135366141796112,False
1002688,1002688_6025_0_0,1002688_6025_0_0_seg0004,II,500.0,40.0,segmented_10s/1002688_6025_0_0/1002688_6025_0_0_seg0004.npz,0.5625553727149963,4.400975227355957,0.8791141510009766,0.4735227227210998,0.4384313225746155,0.3172805607318878,False
1002688,1002688_6025_0_0,1002688_6025_0_0_seg0004,III,500.0,40.0,segmented_10s/1002688_6025_0_0/1002688_6025_0_0_seg0004.npz,0.5694140791893005,4.408080101013184,0.8779624104499817,0.4750813543796539,0.4405264258384704,0.3149586915969848,False
1002688,1002688_6025_0_0,1002688_6025_0_0_seg0005,I,500.0,50.0,segmented_10s/1002688_6025_0_0/1002688_6025_0_0_seg0005.npz,0.6582868695259094,3.508931398391724,0.7820614576339722,0.5561972856521606,0.4478827714920044,0.2051565796136856,False
1002688,1002688_6025_0_0,1002688_6025_0_0_seg0005,II,500.0,50.0,segmented_10s/1002688_6025_0_0/1002688_6025_0_0_seg0005.npz,0.6564334630966187,3.4783859252929688,0.7719884514808655,0.5552496910095215,0.4444489777088165,0.2028971314430236,False
1002688,1002688_6025_0_0,1002688_6025_0_0_seg0005,III,500.0,50.0,segmented_10s/1002688_6025_0_0/1002688_6025_0_0_seg0005.npz,0.6569907069206238,3.493843078613281,0.7749255299568176,0.5584722757339478,0.4436730146408081,0.2028729617595672,False
1002688,1002688_6025_0_0,1002688_6025_0_0_seg0006,I,500.0,60.0,segmented_10s/1002688_6025_0_0/1002688_6025_0_0_seg0006.npz,1.065158486366272,5.787582874298096,0.6553049683570862,0.6511277556419373,0.4648033082485199,0.1828913688659668,False
1002688,1002688_6025_0_0,1002688_6025_0_0_seg0006,II,500.0,60.0,segmented_10s/1002688_6025_0_0/1002688_6025_0_0_seg0006.npz,1.064821481704712,5.770787239074707,0.6628068089485168,0.6492077112197876,0.4676147699356079,0.1819455325603485,False
