PID,bp_0.5_4_I,bp_0.5_4_II,bp_0.5_4_III,bp_4_8_I,bp_4_8_II,bp_4_8_III,bp_8_12_I,bp_8_12_II,bp_8_12_III,bp_12_20_I,bp_12_20_II,bp_12_20_III,bp_20_30_I,bp_20_30_II,bp_20_30_III,bp_30_40_I,bp_30_40_II,bp_30_40_III
1002688,2.7694687843322754,2.7744390964508057,2.769997715950012,4.239386558532715,4.22946310043335,4.23750376701355,1.9169970154762268,1.9236785769462585,1.9157439470291138,0.8018858432769775,0.8036689758300781,0.8045186996459961,0.5407519936561584,0.5427543520927429,0.5423688590526581,0.26809693872928614,0.26877322793006897,0.27169743180274963
1003256,2.847035646438598,2.834242820739746,2.8407890796661377,1.7117245197296145,1.7095966339111328,1.7255769968032837,0.6730221509933472,0.6682721972465515,0.679863452911377,2.058623790740967,2.0447585582733154,2.0517380237579346,2.015734434127808,2.0273971557617188,2.0231380462646484,1.3245124816894531,1.3183610439300537,1.3371920585632324
1004007,2.8163838386535645,2.8122928142547607,2.8205528259277344,1.0784368515014648,1.0928083658218384,1.0991069078445437,1.9779802560806277,1.9583492279052732,1.976481795310974,1.8103158473968504,1.8139400482177732,1.8041642904281616,1.7235634326934814,1.7317966222763062,1.7311094999313354,1.1451929807662964,1.1521289348602295,1.142979621887207
1004800,3.7742592096328735,3.7726187705993652,3.7805718183517456,1.4204732775688171,1.4162225723266602,1.4175018668174744,2.1663479804992676,2.1646833419799805,2.167601227760315,1.8649511337280273,1.8639395833015442,1.8717502355575562,1.5874360799789429,1.592051088809967,1.5957895517349243,1.3762332797050476,1.3799098134040833,1.369342565536499
1011696,2.2145111560821533,2.219787120819092,2.2272655963897705,9.219442367553713,9.185720443725586,9.225397109985352,2.472795248031616,2.4695489406585693,2.4639639854431152,0.841607391834259,0.8353952169418335,0.8421047329902649,0.6880931854248047,0.6848647594451904,0.686851978302002,0.4330467581748962,0.4324503242969513,0.4365172684192657
1012034,3.3021774291992188,3.259244203567505,3.2270376682281494,2.1023037433624268,2.1271748542785645,2.140594005584717,1.8234779834747317,1.838017702102661,1.8385740518569944,2.317810535430908,2.333485841751098,2.3322365283966064,1.924028277397156,1.9076259136199951,1.915701150894165,1.2436996698379517,1.2373318672180176,1.2475117444992063
1013103,3.776563882827759,3.785062551498413,3.771919012069702,2.4949002265930176,2.4872634410858154,2.504167079925537,1.4020442962646484,1.393040657043457,1.40311598777771,1.5792551040649414,1.590662717819214,1.5764518976211548,1.718449592590332,1.7275018692016602,1.7228741645812988,1.0533621311187744,1.0649185180664062,1.0481266975402832
1015377,1.5320043563842771,1.532825946807861,1.53590726852417,2.1331849098205566,2.1417222023010254,2.146498203277588,3.335148334503174,3.339717149734497,3.336468458175659,2.1624553203582764,2.164461851119995,2.1573519706726074,2.286590814590454,2.2867002487182617,2.2928037643432617,1.1191357374191284,1.124823808670044,1.1331679821014404
1016890,3.237844705581665,3.239008665084839,3.2567899227142334,2.4754748344421387,2.470754146575928,2.473733901977539,2.917039632797241,2.89234471321106,2.887756109237671,0.8481423258781433,0.8507480621337891,0.8597797155380249,1.2445775270462036,1.2528098821640017,1.2533440589904783,1.2029235363006592,1.1960971355438232,1.219007968902588
1018708,3.929031372070313,3.925802230834961,3.9228577613830566,4.638060092926025,4.637040615081787,4.649758815765381,2.175938367843628,2.176785945892334,2.171724557876587,1.0026670694351196,1.001084804534912,1.002777099609375,1.264765739440918,1.2693934440612793,1.2601356506347656,1.1393157243728638,1.137506365776062,1.1467162370681765
