PID,file_base,segment_id,lead,fs,start_sec,segment_path,bp_0.5_4,bp_4_8,bp_8_12,bp_12_20,bp_20_30,bp_30_40
1002688,1002688_6025_0_0,1002688_6025_0_0_seg0000,I,500.0,0.0,segmented_10s/1002688_6025_0_0/1002688_6025_0_0_seg0000.npz,2.044342041015625,4.948192119598389,1.3362762928009033,0.8504084348678589,0.5007708072662354,0.36616984009742737
1002688,1002688_6025_0_0,1002688_6025_0_0_seg0000,II,500.0,0.0,segmented_10s/1002688_6025_0_0/1002688_6025_0_0_seg0000.npz,2.0107791423797607,4.912718772888184,1.3366801738739014,0.83208829164505,0.5061671733856201,0.35861068964004517
1002688,1002688_6025_0_0,1002688_6025_0_0_seg0000,III,500.0,0.0,segmented_10s/1002688_6025_0_0/1002688_6025_0_0_seg0000.npz,2.0233349800109863,4.95221471786499,1.328757405281067,0.8349073529243469,0.5003916621208191,0.3649123013019562
1002688,1002688_6025_0_0,1002688_6025_0_0_seg0001,I,500.0,10.0,segmented_10s/1002688_6025_0_0/1002688_6025_0_0_seg0001.npz,2.3189189434051514,3.89562726020813,0.9654167294502258,0.6505526304244995,0.4744488596916199,0.20740269124507904
1002688,1002688_6025_0_0,1002688_6025_0_0_seg0001,II,500.0,10.0,segmented_10s/1002688_6025_0_0/1002688_6025_0_0_seg0001.npz,2.2728183269500732,3.8568694591522217,0.9653507471084595,0.643103837966919,0.4758261442184448,0.2057623416185379
1002688,1002688_6025_0_0,1002688_6025_0_0_seg0001,III,500.0,10.0,segmented_10s/1002688_6025_0_0/1002688_6025_0_0_seg0001.npz,2.3054394721984863,3.861948013305664,0.934810996055603,0.6423020362854004,0.47679898142814636,0.20805387198925018
1002688,1002688_6025_0_0,1002688_6025_0_0_seg0002,I,500.0,20.0,segmented_10s/1002688_6025_0_0/1002688_6025_0_0_seg0002.npz,2.108936309814453,3.3056044578552246,1.1601097583770752,0.5603436231613159,0.5624128580093384,0.2700669765472412
1002688,1002688_6025_0_0,1002688_6025_0_0_seg0002,II,500.0,20.0,segmented_10s/1002688_6025_0_0/1002688_6025_0_0_seg0002.npz,2.1196203231811523,3.3037631511688232,1.1602343320846558,0.5609281063079834,0.5630025267601013,0.270359605550766
1002688,1002688_6025_0_0,1002688_6025_0_0_seg0002,III,500.0,20.0,segmented_10s/1002688_6025_0_0/1002688_6025_0_0_seg0002.npz,2.108225107192993,3.322925090789795,1.164369821548462,0.5559532642364502,0.5653690695762634,0.272420734167099
1002688,1002688_6025_0_0,1002688_6025_0_0_seg0003,I,500.0,30.0,segmented_10s/1002688_6025_0_0/1002688_6025_0_0_seg0003.npz,2.8048863410949707,4.08405065536499,2.884753942489624,0.759647011756897,0.7580443620681763,0.3436799645423889
1002688,1002688_6025_0_0,1002688_6025_0_0_seg0003,II,500.0,30.0,segmented_10s/1002688_6025_0_0/1002688_6025_0_0_seg0003.npz,2.811457633972168,4.085235595703125,2.907874584197998,0.7663761973381042,0.7545446753501892,0.3391772508621216
1002688,1002688_6025_0_0,1002688_6025_0_0_seg0003,III,500.0,30.0,segmented_10s/1002688_6025_0_0/1002688_6025_0_0_seg0003.npz,2.8102502822875977,4.070832252502441,2.9168965816497803,0.7681833505630493,0.7550068497657776,0.3382640779018402
