PID,bp_0.5_4_I,bp_0.5_4_II,bp_0.5_4_III,bp_4_8_I,bp_4_8_II,bp_4_8_III,bp_8_12_I,bp_8_12_II,bp_8_12_III,bp_12_20_I,bp_12_20_II,bp_12_20_III,bp_20_30_I,bp_20_30_II,bp_20_30_III,bp_30_40_I,bp_30_40_II,bp_30_40_III,reconstruction_error
1047831,-0.014751598,-0.22711399,-0.08679204,-0.42916137,-0.3192521,-0.32272887,0.07495763,0.024637438,-0.00038274378,0.40639427,0.42666873,0.47591057,0.5805579,0.5632743,0.64250994,0.46266454,0.49876127,0.6248621,0.1198732
1050464,0.14375363,0.0073061846,0.012238923,0.3719298,0.17943363,0.18343845,-0.0007802583,-0.01025971,-0.03794652,-0.3502996,-0.21715266,-0.2238025,-0.41531283,-0.21111679,-0.26643384,-0.32704726,-0.2455307,-0.28586033,0.81327313
1053513,0.16345382,0.07964462,0.14458089,-0.30317387,-0.21608326,-0.22593057,-0.08991361,-0.21864021,0.008781619,0.23219255,0.32629606,0.4687397,0.49428263,0.579432,0.5536654,0.5119264,0.30885193,0.32227817,0.5076207
1055909,0.311107,0.35870093,0.4886363,1.499036,1.7687122,1.641124,-0.3031702,-0.44899347,-0.35491347,-2.0442886,-2.199556,-2.0847063,-2.4350479,-2.7248714,-2.5810432,-2.548397,-2.5592682,-2.6235964,0.5751679
1056309,0.10245031,0.17035727,0.19341536,0.091091186,0.15669551,0.18245614,-0.24187115,-0.16165759,-0.042804316,0.002871953,-0.028546289,-0.009613879,-0.2217558,-0.24630164,-0.20818311,-0.07291274,-0.40239966,-0.16411647,0.32660386
1057644,0.07920477,-0.019094657,0.08150615,0.50370216,0.7120249,0.69699895,-0.14528917,-0.18970546,-0.1523574,-0.8487999,-0.92309624,-0.92469186,-1.1244124,-1.08585,-1.1557955,-1.1729524,-1.1273428,-1.1689602,2.120304
1060577,0.23275091,0.26969358,0.29876956,0.89028686,1.1158367,1.1071714,-0.5540597,-0.397773,-0.3569493,-1.3916875,-1.3285017,-1.3883848,-1.8310013,-1.7821637,-1.8644701,-1.8279779,-1.7826198,-1.8346726,2.5648448
1063403,0.36821917,0.1708088,0.13780051,0.09650785,0.044761486,0.04152529,0.21572581,0.10390951,0.071763106,0.017370608,-3.9726496e-05,0.06407222,0.019129232,0.025843041,0.08369559,-0.034235746,0.10265287,0.116173945,0.4666225
1064528,0.0685859,-0.007325724,-0.037993625,-0.47731888,-0.38429195,-0.44974568,0.009159721,-0.037154183,0.06300063,0.5082081,0.60772413,0.66568905,0.5745523,0.818283,0.7357867,0.6783272,0.56898975,0.6759967,0.5701392
1067759,-0.08726764,0.030119276,0.0644639,-0.030418985,-0.17140818,-0.11679497,-0.0062789135,-0.04746823,0.021171816,0.23819712,0.21203941,0.2939608,0.1513522,0.31710038,0.15360689,0.2676269,0.15130039,0.19421694,0.16807815
1067855,0.072533816,0.13797279,0.19001529,1.1065878,1.2675182,1.1705118,-0.38176736,-0.3672794,-0.28416166,-1.6280938,-1.7629312,-1.6921837,-2.0872014,-2.0776107,-2.0893323,-2.1029487,-2.025686,-2.0731392,1.7968345
1069285,0.0073645376,-0.1991089,0.048212033,0.50822186,0.35881194,0.4062919,-0.06895859,-0.34375864,-0.0622458,-0.9390717,-0.7463887,-0.7753115,-0.82951385,-0.72365654,-0.77596074,-0.8671617,-0.9150766,-0.82218283,2.4175951
1070083,0.11230564,-0.07234691,-0.086169764,-0.1568521,-0.18417367,-0.23935333,0.3545826,0.35176504,0.351877,0.30596918,0.33688223,0.27990222,0.51254714,0.42589054,0.5347355,0.31968907,0.47716457,0.46257675,0.20956305
1070513,-0.031152152,-0.15232912,-0.015389856,-0.3891463,-0.37881285,-0.3827416,0.09280578,0.07479231,-0.03635971,0.68435633,0.6010747,0.5550783,0.6940425,0.75680184,0.6867336,0.71520936,0.6074259,0.7073909,0.28228757
1071667,0.0019144416,-0.03390534,0.0091856755,-0.2223781,-0.29506978,-0.2748061,0.36833438,0.40598267,0.23876014,0.51354325,0.51185966,0.44315946,0.8154893,0.74435,0.6278395,0.5338458,0.6140411,0.6049598,0.12463135
1072991,0.13004833,0.09641777,0.07956989,-0.030797087,-0.06613764,0.028440125,-0.06576786,-0.118532084,-0.08266106,-0.11863797,-0.16746041,-0.24566364,-0.26682556,-0.34044713,-0.25089878,-0.309627,-0.24516587,-0.104738526,0.4465915
1073272,-0.018827561,0.06540022,-0.02908453,-0.21291262,-0.30811724,-0.2515309,0.32221732,0.24427527,0.21936148,0.36539432,0.3582725,0.29492277,0.4521673,0.4976809,0.53941727,0.4201745,0.5567473,0.47694167,0.7010985
1074157,0.00547361,0.030905418,0.09317723,-0.16504206,-0.17387004,-0.1776014,0.26467103,0.3530042,0.21834248,0.4839066,0.43283725,0.43213716,0.55335295,0.6194712,0.59977174,0.49323553,0.5259435,0.51688796,0.9873577
1078147,0.22038521,0.25122827,0.268771,0.5960891,0.5732347,0.50630325,0.080793016,0.062456027,-0.036994018,-0.8239275,-0.8593587,-0.8095752,-0.92570156,-0.89964515,-0.9208809,-0.9405268,-0.72847265,-0.7771141,0.35562935
1079457,-0.07762326,-0.115980744,-0.018129192,0.009915024,0.11790624,0.018099695,0.009709239,-0.086283095,-0.09435577,-0.1541107,-0.15624619,-0.1624095,-0.28683597,-0.13249753,-0.14696681,-0.13223138,-0.26140642,-0.23125492,0.7596401
1079813,-0.0059197955,0.07112312,-0.002436515,-0.4775089,-0.45897967,-0.45365444,0.13047668,0.060820937,0.07948502,0.56722814,0.6052221,0.5296787,0.74070054,0.73060673,0.7082083,0.73617536,0.67176205,0.6601752,0.3433795
1080030,0.030335005,-0.122490406,-0.013073862,-0.49960184,-0.49187523,-0.46009362,0.10569907,0.1114867,0.1730338,0.55360615,0.6054993,0.6698036,0.87370515,0.79629517,0.82951474,0.7937024,0.704787,0.7924498,0.18790883
1087328,-0.01693365,-0.022672389,-0.021325633,-0.16114935,-0.17579003,-0.17367104,-0.031789012,-0.07782302,-0.12648833,0.203982,0.21641186,0.28631842,0.17826852,0.33050883,0.2340701,0.23549394,0.27268827,0.15343894,0.26217997
1087599,0.07740609,-0.038377423,-0.042502396,-0.26241747,-0.2695147,-0.29364938,0.08572497,0.10613756,0.11039109,0.37940142,0.4364828,0.40110168,0.5172539,0.56881106,0.48413783,0.52126056,0.33189687,0.42676815,0.1342294
1094231,0.4110443,0.71806717,0.7445468,1.5451325,1.6124165,1.5627578,-0.16611466,-0.12975015,-0.31784528,-1.6726732,-1.7775152,-1.6292741,-2.0585566,-2.436814,-2.2173371,-2.092909,-2.0426774,-2.3038058,1.4782987
1094429,0.3590248,0.2655092,0.24688621,0.31328475,0.16101357,0.18262953,-0.023237957,-0.08977915,-0.083542064,-0.14668113,-0.103585266,-0.05462672,-0.24498174,-0.2596399,-0.26064795,-0.147313,-0.20762016,-0.27866507,0.72782403
1097234,0.06997922,-0.09952237,-0.0364348,-0.40134436,-0.3628486,-0.35364756,0.368012,0.3062338,0.31198373,0.6230745,0.586132,0.6153269,0.74745584,0.79417896,0.7632367,0.64081395,0.60961854,0.6860662,0.71392083
1099786,0.14578688,-0.05088598,0.042644035,-0.41485447,-0.36509308,-0.35875952,0.1286287,0.14367652,0.07760983,0.46079248,0.55251616,0.58187,0.49169442,0.5300425,0.60278946,0.5537033,0.5554871,0.58183014,0.25024903
