PID,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,mu1,mu2,mu3,mu4,mu5,mu6,mu7,mu8,mu9,mu10,mu11,mu12,mu13,mu14,mu15,mu16,mu17,mu18,mu19,mu20,mu21,mu22,mu23,mu24,mu25,mu26,mu27,mu28,mu29,mu30,mu31,mu32,logvar1,logvar2,logvar3,logvar4,logvar5,logvar6,logvar7,logvar8,logvar9,logvar10,logvar11,logvar12,logvar13,logvar14,logvar15,logvar16,logvar17,logvar18,logvar19,logvar20,logvar21,logvar22,logvar23,logvar24,logvar25,logvar26,logvar27,logvar28,logvar29,logvar30,logvar31,logvar32,reconstruction_error
1019264,1.5310881,-2.0884156,-0.82806104,-1.4050319,1.4084558,0.44602236,-0.36632812,0.6463614,0.099515036,0.09025568,0.108816594,-0.17897259,-0.07419434,-0.9434893,-0.57956505,-0.036879867,0.49635693,0.42413998,0.6180886,0.18389103,0.2275641,-0.64757544,-0.5738897,-0.83424664,1.123283,-1.8789636,1.6460097,-1.0637418,1.5121098,0.4452153,2.6646512,0.7768749,0.099048175,-0.42498675,0.24911934,0.021121122,-0.08700289,0.34764084,-0.23085625,0.09579687,0.31814805,-0.010398507,-0.21242213,0.14012949,0.06453107,0.11252785,0.029390793,0.11512333,0.17536288,0.13973652,0.025772028,0.010970464,0.122907445,-0.1822236,0.12792726,-0.05858171,0.39812586,0.1911017,0.35475227,-0.024705395,0.05834691,-0.042309858,0.06295857,0.37554625,-0.016700737,-0.106918275,-0.0690177,0.01311497,0.019191425,-0.012086198,-0.05622182,-0.0274264,-0.10612318,-0.018562272,-0.0627671,-0.036303993,-0.025275633,-0.048889,-0.046104,-0.026344057,-0.09833768,-0.025952838,-0.028921232,-0.010772342,-0.01969555,-0.07701966,-0.011922468,-0.020024108,-0.18961921,-0.05885358,-0.09460013,-0.011682995,-0.019545104,-0.027579382,0.06805228,-0.10352765,0.073227756
1019533,-1.083483,0.42976356,-1.4662715,-0.832485,0.97984934,0.9318204,-0.41264373,-1.363804,-0.5424617,1.1538705,1.0196934,-0.8394268,-1.5333639,-0.75864244,0.08783127,1.5122514,1.3835629,0.17583957,-0.5371707,-1.0751028,-0.11043687,-2.1164718,-0.23166324,1.4900589,-0.5048876,-0.17958021,0.10109463,0.8537031,0.4407143,-0.6968503,0.52363926,-1.4023741,0.13893552,-0.46653998,0.24017265,-0.05289135,-0.056949615,0.4315948,-0.25665092,0.21517739,0.4354878,-0.032679014,-0.17306161,0.009206098,0.14197472,0.09553334,0.13447468,0.16920458,0.16785207,0.08140038,-0.051762972,0.06447031,0.1600415,-0.19498631,0.14535724,-0.21917261,0.52992415,0.19648638,0.40651307,0.030191448,-0.02084954,-0.0836471,0.018912815,0.47195733,0.046546377,-0.109605715,-0.043972652,0.033242416,0.053458586,0.0005201674,-0.072411895,-0.042332895,-0.070539415,-0.00932483,-0.06105922,-0.023900367,-0.013213545,-0.016121015,-0.04895944,-0.036849614,-0.07406352,0.004453227,-0.023776166,-0.015579888,-0.038894385,-0.029829204,-0.00797739,-0.006190961,-0.21858639,-0.03015589,-0.018895574,-0.006430369,-0.04330605,-0.014311083,0.085836016,-0.07742961,1.1166657
1019875,0.8741603,0.31564882,-0.22892758,0.59280103,0.8211019,1.5009921,-0.22150916,-0.15253684,1.8645635,1.1108572,-1.6850556,0.11331203,-0.15769091,-1.0416751,-0.014009926,-0.028258324,0.28901505,-1.1778059,-0.25871152,-1.7529238,0.6712582,0.20570606,0.27788258,0.3693847,0.8091893,2.3152936,-0.7971718,1.0169065,0.054538973,2.45908,0.096892,1.0663205,0.08801815,-0.393315,0.19845036,0.064711265,-0.034690738,0.29372784,-0.18490721,0.063899465,0.25621396,0.015903573,-0.17541242,0.17735903,0.037224345,0.11237346,-0.020295616,0.103505045,0.15590115,0.11503896,0.04977443,0.045035973,0.072841495,-0.18874851,0.08411352,-0.0048157275,0.29976755,0.19186306,0.32338673,-0.011704199,0.05149764,-0.037720688,0.09135957,0.2559739,-0.020484976,-0.08214181,-0.078772806,0.010897789,-0.01891375,-0.06044592,-0.06407769,0.0018547699,-0.11380601,-0.028628554,-0.04186488,-0.057361986,-0.03165353,-0.08842951,-0.05907925,-0.023578215,-0.06791437,-0.03768362,-0.015782632,-0.013980434,0.0021045208,-0.050289586,-0.020847123,0.013947267,-0.16151246,-0.04275454,-0.09641726,0.008227587,-0.028531464,-0.04396923,0.06367582,-0.026574671,0.18823355
1022717,-0.4149639,-0.61416036,-0.2833309,0.057558946,0.019083738,-0.6296516,0.30022871,-1.6108003,1.2601535,0.09160547,-0.7983515,0.84002113,-1.1763244,1.7185835,-1.8355705,1.2170562,0.23064624,-0.35186502,-0.6555879,-0.06583542,-0.27508795,0.51458895,1.2454064,-2.6261916,0.109087735,1.6787046,-0.7970153,1.7902695,1.2157062,-0.05333371,2.1948168,0.9446895,0.07714212,-0.37901247,0.23332873,0.023792148,-0.12852398,0.2640013,-0.22618331,0.023057163,0.27424198,-0.0020603128,-0.22021407,0.16410331,0.037191175,0.09631947,-0.016247299,0.12400052,0.15805879,0.13685942,0.077706985,-0.025375072,0.15256973,-0.117921874,0.14526945,-0.05762402,0.32972056,0.16445234,0.2634937,-0.021280684,0.14956486,-0.057945244,0.07349122,0.34234816,-0.04824783,-0.0685376,-0.0713873,-0.0015736595,0.013542682,0.0131263,-0.058789667,-0.07772625,-0.052227903,-0.024952974,-0.047448926,-0.040289246,-0.019421082,-0.0027198046,-0.032431275,-0.0019274019,-0.10183208,-0.08218616,-0.03384707,-0.013204346,-0.032843217,-0.092236,0.012389334,-0.052686654,-0.28667107,-0.10258935,-0.16606794,0.022665817,-0.0427117,-0.0039668456,0.048367642,-0.19744232,0.49031782
1025716,-1.0052898,0.134682,-0.50402516,-0.22939716,0.58972883,-1.1460607,0.9809652,-0.37714183,1.4182794,-0.097348005,-1.391142,2.9930084,-0.3734221,-0.19931428,0.09907195,1.1204118,-0.3916189,2.0566711,1.0983744,-0.9263612,-0.22546689,2.0225666,0.45649588,1.3370577,0.45214054,1.4933302,-0.68775517,-0.04171311,1.051559,0.5397345,-0.1891427,-0.59488654,0.09679447,-0.5443065,0.3892892,-0.01508747,-0.18133502,0.42495972,-0.3772691,0.087857425,0.4124316,0.007761348,-0.33582762,0.27597266,0.073011704,0.17781098,0.035010196,0.21965332,0.22480567,0.19938983,0.050394963,0.0068592,0.21792851,-0.22434029,0.17510425,-0.108608395,0.5158681,0.22206825,0.4336967,-0.021431528,0.13456704,-0.0969688,0.08146564,0.5319121,-0.008253593,-0.10471983,-0.04405156,0.011061382,0.034028884,0.017975166,-0.060091846,-0.092102535,-0.12951955,-0.023205427,-0.104334556,-0.03349629,-0.061258346,0.0029720217,-0.07159997,-0.05321439,-0.13503748,-0.03801039,-0.09836449,-0.053072803,-0.04718408,-0.10508126,-0.025398212,-0.04767803,-0.31611642,-0.10079831,-0.13905202,-0.055953983,-0.03643813,0.02487138,0.060700394,-0.2196405,1.347398
1027707,-0.2739309,-0.15577328,0.052101076,0.905784,0.8404486,2.1764576,-1.4297364,-0.9076013,-0.5065017,1.4995254,-0.7116373,-0.5200628,1.8005952,-0.625942,0.009723395,0.7610587,2.2854226,0.5249073,-2.1336102,2.603138,-1.7485267,0.31826454,-0.5798447,-1.3531137,0.36859238,-0.43876842,-0.17829543,-0.11393625,0.9100455,-1.4831892,-0.103224054,1.0973694,0.17324007,-0.57002634,0.33604535,-0.052905627,-0.08359465,0.4721922,-0.33164805,0.22458631,0.49493504,-0.043264538,-0.22077611,0.057832282,0.16586553,0.1229372,0.16023268,0.22476129,0.22314599,0.14474584,-0.07152197,0.034354046,0.18221681,-0.24044257,0.14525479,-0.1908016,0.580846,0.23415253,0.5041701,0.043775655,-0.05494061,-0.08280434,0.017548073,0.55478233,0.036847077,-0.13328625,-0.050409283,0.03138501,0.06390038,0.0043968298,-0.074983984,-0.016671956,-0.11937778,0.0044605304,-0.061816685,-0.016630083,-0.021469306,0.009613141,-0.058648054,-0.05028413,-0.10335146,0.041921988,-0.018012427,-0.015968228,-0.011584543,-0.07050246,-0.036450237,0.021177476,-0.21884748,-0.024884805,-0.005542591,-0.041458745,-0.019369781,0.009138361,0.0695374,-0.068315744,0.18904454
1033544,0.40300998,0.7906886,-0.15271088,0.64299095,-0.62737775,-0.6399635,-0.6560642,1.0131984,-0.11362281,-0.15854153,0.46248364,1.9022825,0.5264105,0.28330782,0.024216194,0.73550516,-0.6090421,0.17378551,1.1842687,-0.52388835,0.84022236,-1.5858884,0.24721797,1.5257998,1.0050539,-0.040187187,-0.29101813,-0.28731173,1.4281449,0.7332068,-0.120583415,0.35803515,-0.004764702,0.06477406,-0.056467712,0.038794853,-0.025639527,0.0047386363,0.09544392,0.08598361,0.0119031,0.01372366,0.104816586,-0.028222311,0.0062089674,-0.04112046,-0.014401979,-0.059083242,0.01094275,-0.0009502247,-0.04229882,-0.06848679,-0.043546297,0.16548897,0.08111438,-0.001517795,-0.034306407,-0.024475656,-0.057851437,-0.0912984,0.02703977,-0.014960699,0.0018980876,0.035957634,-0.033109974,-0.1042584,-0.040232383,-0.022074278,-0.008568503,-0.048403814,-0.06419781,-0.04519918,-0.003349863,-0.02872674,-0.047557116,-0.024876904,0.03512368,-0.055841774,0.0031896532,0.053114675,-0.047360197,-0.06863968,0.01279103,0.0051032007,-0.024349965,-0.08089143,0.006366289,-0.01726714,-0.16413736,-0.032338277,-0.0984449,0.054237746,0.0025367048,-0.10876671,-0.021424681,-0.04922135,0.3003235
1033769,-0.19753559,-0.89010775,-1.410847,-0.75554264,0.45605615,2.1295197,0.10089591,0.39790222,0.6891679,0.28279495,2.0376155,0.95857584,-2.4277825,1.2942258,-1.1578707,-1.3344053,1.4469095,-1.4693075,-1.070848,-1.3564571,0.98212165,0.5678785,-1.0837018,-1.9761621,-0.68668973,0.112921864,0.21418689,1.251799,-0.99243957,0.11381713,1.0925796,0.8359431,0.12663792,-0.42551672,0.22973448,-0.020194761,-0.05340734,0.3382829,-0.25154,0.1561378,0.36091614,-0.047501266,-0.17158586,0.14345065,0.1031477,0.10596767,0.05787198,0.16299297,0.23744838,0.122510076,0.010162361,0.025118446,0.11835991,-0.19710663,0.07541001,-0.07208958,0.4073093,0.20349173,0.37703016,0.050509173,-0.0021875864,-0.04005619,0.07246226,0.37033543,-0.004632417,-0.10926925,-0.075948425,0.038547385,0.022503337,-0.0023631803,-0.07716486,-0.022309072,-0.13491248,-0.022649087,-0.012138698,-0.027629923,-0.020020802,-0.023574114,-0.05051413,0.018699702,-0.09129781,-0.0034778938,-0.0019946322,-0.0067660064,-0.0037434474,-0.10068321,-0.03979165,0.010056905,-0.19588318,-0.045409016,-0.09632279,-0.013143752,-0.02007895,-0.053610824,0.03755021,-0.038322285,0.52575815
1034964,0.30824238,-0.5055027,-0.66352737,0.3578043,0.085103124,0.11240646,0.5619592,0.40890583,-0.6691719,0.4598576,-0.72302735,0.3119337,-1.0193316,-1.0288501,-1.1269153,0.6133455,-0.7246506,-0.3249827,-0.7427764,0.53238827,-1.2559261,1.398525,-0.73796487,0.96768826,-0.46368536,-0.21837609,-0.058187515,0.15619776,-1.8752472,0.94394624,1.4824029,1.2615473,-0.13425197,0.49633312,-0.217439,0.11771295,0.16373117,-0.41104105,0.41678202,-0.14512488,-0.46288487,0.22232345,0.2515341,0.19131622,-0.18252489,-0.004466839,-0.24192448,-0.181164,-0.23691368,-0.022836495,0.2629646,0.07097296,-0.45607865,0.025795728,-0.3278502,0.1904399,-0.6483936,-0.22964886,-0.21603648,0.09201506,-0.0844743,0.4168773,0.08461354,-0.51936704,-0.09550309,-0.23006888,-0.1853944,-0.08216865,-0.06388686,-0.025618799,-0.18264729,-0.0549047,-0.11436862,-0.09111365,-0.031452306,-0.10577501,0.070172645,-0.10429168,-0.05729575,0.043968994,-0.11425935,-0.13634872,0.036763437,-0.014645382,-0.017610721,-0.04676178,-0.059563834,-0.043776363,-0.15940017,-0.05397046,-0.20206243,0.0056224875,-0.012239946,-0.12596497,0.049274392,0.053404372,0.5142869
1036119,-0.17064267,0.064425096,-0.4440516,1.1827964,0.1832394,1.0917411,1.6108761,-1.6988264,2.2579932,1.648684,-0.52918696,-0.9422861,-0.7179799,0.36322156,1.8003665,-1.8309815,-1.3570704,-0.89392143,0.3649532,-1.1602293,-0.78078026,-0.09459764,0.61134225,-1.3798027,-0.20858373,1.7043923,1.2308836,-0.018658698,-1.175648,1.4390044,0.082243584,1.1831186,0.03618586,-0.150015,0.02542182,0.031689774,0.08404419,0.067603685,0.016635198,0.08979485,0.1238666,0.0038877726,0.036672015,-0.04915541,0.033123016,-0.038179852,0.0524211,-0.00844508,0.022777304,-0.030117847,0.029544026,-0.026446482,-0.06564538,-0.018429782,-0.007144927,-0.030346334,0.13909705,0.08206244,0.08053622,0.04609769,-0.05981492,0.0672948,0.018335566,0.08948369,-0.037234813,-0.09673022,-0.077669084,-0.056645337,-0.0021717283,-0.015052607,-0.047456577,0.03302349,-0.033657502,0.0147201475,0.003937453,-0.067757264,0.034263525,-0.07940954,-0.0010951147,0.043143027,-0.101263866,-0.097037576,0.0135362,0.009518907,0.050881766,-0.018724883,-0.028945837,0.051435098,-0.0713736,-0.055918347,-0.034216326,0.026152695,-0.05388019,-0.022603951,0.07313041,0.0077039003,0.24268357
